setting,seed,p,K,t,camera_coef,license_coef,loss_ratio,nonadopter_rate_change,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only
baseline,0,0.25,1,6,-0.432793,-0.47422,0.782905,-0.0676623,0.0986868,0.0888238,0.187511,0.257023,0.248972,0.256298,0.127885,0.0765556,0.369231,-0.0372446
baseline,0,0.25,1,7,-0.363474,-0.450136,0.749429,-0.0449137,0.0836772,0.0856167,0.169294,0.257023,0.2463,0.256298,0.127885,0.0639088,0.369231,-0.0345594
baseline,0,0.25,1,8,-0.501842,-0.477198,0.752704,-0.0425818,0.116645,0.090454,0.207099,0.257023,0.245002,0.256298,0.127885,0.0802918,0.369231,-0.0448642
baseline,0,0.25,1,9,-0.48597,-0.485182,0.742493,-0.0330772,0.115895,0.0945568,0.210452,0.257023,0.239029,0.256298,0.127885,0.0830153,0.369231,-0.0567241
baseline,0,0.25,1,10,-0.485908,-0.328776,0.758334,-0.0521565,0.122835,0.067746,0.190581,0.257023,0.22936,0.256298,0.127885,0.059121,0.369231,-0.0583777
baseline,0,0.25,3,1,-0.441514,-0.714825,0.726278,0,0.114409,0.153597,0.268006,0.257023,0.216328,0.256298,0.127885,0.086277,0.369231,-0.0943545
baseline,0,0.25,3,2,-0.469206,-0.623219,0.798253,-0.0897994,0.117454,0.128532,0.245986,0.257023,0.224263,0.256298,0.127885,0.0843728,0.369231,-0.0807373
baseline,0,0.25,3,3,-0.490845,-0.508841,0.79668,-0.0752058,0.118562,0.100524,0.219085,0.257023,0.233536,0.256298,0.127885,0.080036,0.369231,-0.0635493
baseline,0,0.25,3,4,-0.479516,-0.404023,0.799689,-0.0755194,0.110903,0.0761801,0.187083,0.257023,0.245836,0.256298,0.127885,0.0750383,0.369231,-0.0414147
baseline,0,0.25,3,5,-0.448631,-0.424625,0.793706,-0.0658343,0.105053,0.0813193,0.186373,0.257023,0.245787,0.256298,0.127885,0.0743729,0.369231,-0.040981
baseline,0,0.25,3,6,-0.40189,-0.482437,0.787454,-0.0667788,0.0945374,0.0934798,0.188017,0.257023,0.244334,0.256298,0.127885,0.0740137,0.369231,-0.0431722
baseline,0,0.25,3,7,-0.395402,-0.480799,0.767989,-0.0522051,0.0929774,0.093251,0.186228,0.257023,0.243393,0.256298,0.127885,0.0710569,0.369231,-0.0429529
baseline,0,0.25,3,8,-0.426017,-0.475904,0.755946,-0.0436407,0.0986242,0.0905786,0.189203,0.257023,0.245875,0.256298,0.127885,0.073225,0.369231,-0.0399809
baseline,0,0.25,3,9,-0.441295,-0.483049,0.742281,-0.0318829,0.103611,0.0931379,0.196749,0.257023,0.242923,0.256298,0.127885,0.0754287,0.369231,-0.0458801
baseline,0,0.25,3,10,-0.481935,-0.44903,0.744527,-0.0334149,0.116441,0.0886085,0.205049,0.257023,0.23778,0.256298,0.127885,0.0746375,0.369231,-0.0535059
baseline,0,0.25,5,1,-0.441514,-0.714825,0.726278,0,0.114409,0.153597,0.268006,0.257023,0.216328,0.256298,0.127885,0.086277,0.369231,-0.0943545
baseline,0,0.25,5,2,-0.458341,-0.642129,0.798251,-0.0894204,0.114654,0.132541,0.247195,0.257023,0.223073,0.256298,0.127885,0.0843904,0.369231,-0.0826184
baseline,0,0.25,5,3,-0.48499,-0.565368,0.797876,-0.0829969,0.117476,0.112365,0.229841,0.257023,0.230617,0.256298,0.127885,0.0834152,0.369231,-0.0700488
baseline,0,0.25,5,4,-0.4786,-0.520149,0.798142,-0.0809751,0.114091,0.101642,0.215733,0.257023,0.236635,0.256298,0.127885,0.0817512,0.369231,-0.0595991
baseline,0,0.25,5,5,-0.454683,-0.490712,0.793344,-0.0712477,0.108479,0.0960807,0.20456,0.257023,0.23844,0.256298,0.127885,0.0775307,0.369231,-0.0544468
baseline,0,0.25,5,6,-0.454015,-0.436244,0.789822,-0.0666068,0.105821,0.0832088,0.18903,0.257023,0.245046,0.256298,0.127885,0.0749586,0.369231,-0.0425926
baseline,0,0.25,5,7,-0.427367,-0.441894,0.778467,-0.0566109,0.0993984,0.0843417,0.18374,0.257023,0.246451,0.256298,0.127885,0.0726568,0.369231,-0.0390057
baseline,0,0.25,5,8,-0.411632,-0.47645,0.768832,-0.052739,0.0962325,0.0916889,0.187921,0.257023,0.244904,0.256298,0.127885,0.073004,0.369231,-0.0415022
baseline,0,0.25,5,9,-0.429733,-0.486555,0.755993,-0.0415554,0.101231,0.0942397,0.195471,0.257023,0.242829,0.256298,0.127885,0.0750735,0.369231,-0.0459089
baseline,0,0.25,5,10,-0.446286,-0.459209,0.749697,-0.0378538,0.10599,0.0894241,0.195414,0.257023,0.241133,0.256298,0.127885,0.0727694,0.369231,-0.0472627
baseline,0,0.5,1,1,-0.441514,-0.714825,0.704609,0,0.114409,0.153597,0.268006,0.257675,0.214448,0.257453,0.120547,0.0853172,0.362616,-0.0986253
baseline,0,0.5,1,2,-0.566406,-0.457089,0.863374,-0.178768,0.127962,0.0835013,0.211463,0.257675,0.242084,0.257453,0.120547,0.0870833,0.362616,-0.0530139
baseline,0,0.5,1,3,-0.664051,-0.322713,0.832381,-0.124413,0.147921,0.0572308,0.205152,0.257675,0.249998,0.257453,0.120547,0.0902114,0.362616,-0.0401809
baseline,0,0.5,1,4,-0.459253,-0.328852,0.828676,-0.141205,0.111948,0.065519,0.177467,0.257675,0.236154,0.257453,0.120547,0.0621387,0.362616,-0.0464469
baseline,0,0.5,1,5,-0.546323,-0.47833,0.803427,-0.121122,0.143229,0.102025,0.245255,0.257675,0.221197,0.257453,0.120547,0.0819943,0.362616,-0.080649
baseline,0,0.5,1,6,-0.561007,-0.460687,0.798674,-0.11609,0.134528,0.0894561,0.223984,0.257675,0.239595,0.257453,0.120547,0.0872971,0.362616,-0.0555728
baseline,0,0.5,1,7,-0.496236,-0.401733,0.755052,-0.0816559,0.117156,0.077379,0.194535,0.257675,0.240242,0.257453,0.120547,0.0710101,0.362616,-0.04597
baseline,0,0.5,1,8,-0.615556,-0.374722,0.75968,-0.0852755,0.156371,0.076675,0.233046,0.257675,0.228301,0.257453,0.120547,0.0736562,0.362616,-0.06367
baseline,0,0.5,1,9,-0.574135,-0.331448,0.744444,-0.0700295,0.148848,0.069409,0.218257,0.257675,0.225057,0.257453,0.120547,0.0688301,0.362616,-0.0684097
baseline,0,0.5,1,10,-0.554857,-0.148273,0.753027,-0.0820006,0.148524,0.0320814,0.180606,0.257675,0.217581,0.257453,0.120547,0.042937,0.362616,-0.0657406
baseline,0,0.5,3,1,-0.441514,-0.714825,0.704609,0,0.114409,0.153597,0.268006,0.257675,0.214448,0.257453,0.120547,0.0853172,0.362616,-0.0986253
baseline,0,0.5,3,2,-0.488186,-0.642502,0.871132,-0.189959,0.121482,0.131632,0.253115,0.257675,0.223356,0.257453,0.120547,0.0876702,0.362616,-0.0848375
baseline,0,0.5,3,3,-0.534459,-0.544034,0.850519,-0.157553,0.127893,0.106124,0.234017,0.257675,0.232921,0.257453,0.120547,0.0878518,0.362616,-0.068418
baseline,0,0.5,3,4,-0.546367,-0.40489,0.831562,-0.135618,0.127981,0.0769323,0.204913,0.257675,0.241199,0.257453,0.120547,0.0812306,0.362616,-0.0499722
baseline,0,0.5,3,5,-0.551058,-0.405438,0.810236,-0.113325,0.133875,0.0798837,0.213759,0.257675,0.235953,0.257453,0.120547,0.0811699,0.362616,-0.0572624
baseline,0,0.5,3,6,-0.520501,-0.450007,0.799481,-0.112092,0.129878,0.0914835,0.221362,0.257675,0.231767,0.257453,0.120547,0.0800698,0.362616,-0.063378
baseline,0,0.5,3,7,-0.528786,-0.465784,0.775706,-0.0938624,0.130187,0.0934606,0.223648,0.257675,0.233069,0.257453,0.120547,0.0808652,0.362616,-0.062098
baseline,0,0.5,3,8,-0.546657,-0.423959,0.761801,-0.0826154,0.133209,0.0839424,0.217151,0.257675,0.23549,0.257453,0.120547,0.0767489,0.362616,-0.0555851
baseline,0,0.5,3,9,-0.549364,-0.381326,0.744659,-0.0675701,0.136945,0.0771443,0.214089,0.257675,0.231203,0.257453,0.120547,0.0706741,0.362616,-0.0590578
baseline,0,0.5,3,10,-0.569647,-0.303085,0.744428,-0.0680172,0.147618,0.0635293,0.211147,0.257675,0.224325,0.257453,0.120547,0.0626878,0.362616,-0.0652934
baseline,0,0.5,5,1,-0.441514,-0.714825,0.704609,0,0.114409,0.153597,0.268006,0.257675,0.214448,0.257453,0.120547,0.0853172,0.362616,-0.0986253
baseline,0,0.5,5,2,-0.472679,-0.655544,0.874599,-0.1928,0.117786,0.134722,0.252507,0.257675,0.221871,0.257453,0.120547,0.0864333,0.362616,-0.0867784
baseline,0,0.5,5,3,-0.513502,-0.584275,0.862549,-0.175347,0.124101,0.115629,0.239729,0.257675,0.229241,0.257453,0.120547,0.0879735,0.362616,-0.0749662
baseline,0,0.5,5,4,-0.522051,-0.519235,0.847532,-0.159116,0.126281,0.102421,0.228703,0.257675,0.232871,0.257453,0.120547,0.0854619,0.362616,-0.0668343
baseline,0,0.5,5,5,-0.526934,-0.489932,0.82843,-0.137513,0.129286,0.0979304,0.227217,0.257675,0.231906,0.257453,0.120547,0.0833382,0.362616,-0.0664034
baseline,0,0.5,5,6,-0.551492,-0.43604,0.811684,-0.119674,0.132837,0.0852347,0.218071,0.257675,0.237165,0.257453,0.120547,0.0836993,0.362616,-0.0573186
baseline,0,0.5,5,7,-0.539353,-0.418776,0.789924,-0.0996487,0.130115,0.0820778,0.212193,0.257675,0.237589,0.257453,0.120547,0.0803525,0.362616,-0.0544856
baseline,0,0.5,5,8,-0.530138,-0.424225,0.776621,-0.0937677,0.131222,0.085466,0.216688,0.257675,0.233063,0.257453,0.120547,0.0763945,0.362616,-0.0591133
baseline,0,0.5,5,9,-0.549753,-0.424386,0.761152,-0.0808328,0.137451,0.0862025,0.223654,0.257675,0.230912,0.257453,0.120547,0.0770531,0.362616,-0.063019
