bin,promised,realized,true_cut,t,setting,seed,p,K
4,0.378321,0.280741,0.346015,10,baseline,1,0.1,3
0,0.103727,0.0868258,0.129687,1,baseline,1,0.1,5
1,0.196052,0.175713,0.204218,1,baseline,1,0.1,5
2,0.263611,0.252367,0.237942,1,baseline,1,0.1,5
3,0.314662,0.290214,0.325895,1,baseline,1,0.1,5
4,0.378321,0.326858,0.346015,1,baseline,1,0.1,5
0,0.103727,0.106589,0.129687,10,baseline,1,0.1,5
1,0.196052,0.178752,0.204218,10,baseline,1,0.1,5
2,0.263611,0.239567,0.237942,10,baseline,1,0.1,5
3,0.314662,0.264684,0.325895,10,baseline,1,0.1,5
4,0.378321,0.289435,0.346015,10,baseline,1,0.1,5
0,0.104717,0.0850846,0.13571,1,baseline,1,0.25,1
1,0.197187,0.173362,0.197205,1,baseline,1,0.25,1
2,0.261997,0.247257,0.243021,1,baseline,1,0.25,1
3,0.313287,0.288874,0.314992,1,baseline,1,0.25,1
4,0.376657,0.323814,0.355085,1,baseline,1,0.25,1
0,0.104717,0.109121,0.13571,10,baseline,1,0.25,1
1,0.197187,0.178168,0.197205,10,baseline,1,0.25,1
2,0.261997,0.215788,0.243021,10,baseline,1,0.25,1
3,0.313287,0.233762,0.314992,10,baseline,1,0.25,1
4,0.376657,0.247744,0.355085,10,baseline,1,0.25,1
0,0.104717,0.0850846,0.13571,1,baseline,1,0.25,3
1,0.197187,0.173362,0.197205,1,baseline,1,0.25,3
2,0.261997,0.247257,0.243021,1,baseline,1,0.25,3
3,0.313287,0.288874,0.314992,1,baseline,1,0.25,3
4,0.376657,0.323814,0.355085,1,baseline,1,0.25,3
0,0.104717,0.0988501,0.13571,10,baseline,1,0.25,3
1,0.197187,0.174778,0.197205,10,baseline,1,0.25,3
2,0.261997,0.221654,0.243021,10,baseline,1,0.25,3
3,0.313287,0.242354,0.314992,10,baseline,1,0.25,3
4,0.376657,0.260428,0.355085,10,baseline,1,0.25,3
0,0.104717,0.0850846,0.13571,1,baseline,1,0.25,5
1,0.197187,0.173362,0.197205,1,baseline,1,0.25,5
2,0.261997,0.247257,0.243021,1,baseline,1,0.25,5
3,0.313287,0.288874,0.314992,1,baseline,1,0.25,5
4,0.376657,0.323814,0.355085,1,baseline,1,0.25,5
0,0.104717,0.112207,0.13571,10,baseline,1,0.25,5
