seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,noise,variant,promised,realized,true_cut,dlog_capacity,dlog_nightlife_density,dlog_prior_violations,dlog_late_night_hours,dlog_staff_training_score,dlog_security_staff,dlog_incident_response_time,dlog_camera_coverage,dlog_license_compliance,dlog_cap_effect,share_at_credit_cap_after,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only,coef_inspection_score,dlog_inspection_score
3,1.0,3,11,0.7425918144906442,-0.14433355182274318,,0.6877858758908391,0.11320372545837164,0.0023189866639036463,0.09160495492379174,-0.9053112613359608,-0.22603443623172154,0.012858105777029522,-0.35648626543714157,0.34513057609709596,0.16473542828793247,0.0,0.16473542828793247,very low,burnin,0.36973055370195296,0.1450680909331422,0.2443559205175576,0.0,0.0,0.0,-0.03871701133519374,-0.08189535333585911,-0.021020069864329853,-0.01683476326754677,-0.031755309879943364,0.02827845674817753,0.0016747564633251826,0.019085886489201405,0.2526368658965344,-0.07150829287963491,0.1956303365143144,-0.09748065462750066,-0.4120409949781055,0.0
3,1.0,3,12,0.7354567200004404,-0.18385038875215423,,0.6642035529982083,0.13698334523554392,0.0023457060261878816,0.08389802819747066,-0.9258257123299932,-0.2677953118802996,0.011355887846807113,-0.46329315219071415,0.1276101480764354,0.18692578095676568,0.0,0.18692578095676568,very low,burnin,0.36973055370195296,0.1664129525330868,0.2443559205175576,0.0,0.0,0.0,-0.035459663851417154,-0.08375111089063451,-0.024903622027279037,-0.014867950762649122,-0.04126952154813388,0.010455805144290642,0.004299720189520659,0.04269211451531894,0.2526368658965344,-0.025711510822108912,0.1956303365143144,-0.09950354858210789,-0.40524832460514826,0.0
3,1.0,3,13,0.7274399460119203,-0.2362206573267799,,0.6384708574652985,0.1504185601047518,-0.0006488255359609594,0.08642661454895893,-1.0077897954886388,-0.28307251051478916,0.015588194333582377,-0.6097202330031412,-0.03487476380754581,0.20201271580838284,0.008809730456895707,0.21082244626527855,very low,burnin,0.36973055370195296,0.193059692272893,0.2443559205175576,0.0,0.0,0.0,-0.036528375762405293,-0.0911656630317638,-0.026324324943090532,-0.020409192918849853,-0.054313046016916035,-0.0028574822639218767,0.012678589275141773,0.11828227021597187,0.2526368658965344,0.017909999667861116,0.1956303365143144,-0.09166591482131972,-0.3963048503670748,0.0
3,1.0,3,14,0.7339481203237329,-0.32814714506894666,,0.6260099434875617,0.17077779598283382,-1.1376153571533873e-05,0.09569573380386735,-1.2459126372218354,-0.3042369731381785,0.02341598975493311,-0.7391678933511819,-0.256163602491568,0.1860773871521196,0.049531008159939466,0.2356083953120591,very low,burnin,0.36973055370195296,0.2230186351318249,0.2443559205175576,0.0,0.0,0.0,-0.04044598693920359,-0.11270649113579212,-0.02829251390757456,-0.030657909573572353,-0.06584406688961364,-0.020988900593603765,0.03934613480541259,0.3561024610748368,0.2526368658965344,0.0616231718056339,0.1956303365143144,-0.08189692775406035,-0.3577948435244857,0.0
3,1.0,3,15,0.745887012056152,-0.4176830103869864,,0.6390454970222672,0.17762410187191383,-0.0009308313931657877,0.10357128770877667,-1.338627944037143,-0.28770693478896575,0.031599052060218374,-0.7257429785520413,-0.6691489974336827,0.15234960146722434,0.11171555419201346,0.2640651556592378,very low,burnin,0.36973055370195296,0.2371114855411734,0.2443559205175576,0.0,0.0,0.0,-0.04377460502608517,-0.12109360961709471,-0.026755303176532238,-0.041371767361176294,-0.06464819380587566,-0.05482707790193375,0.07206351529501928,0.5680562531391261,0.2526368658965344,0.09096240529723518,0.1956303365143144,-0.08705638380461585,-0.3327051989095822,0.0
3,1.0,3,16,0.7615393607192508,-0.42530645252391075,,0.6244818180854443,0.17050179205737,-2.0639015653862538e-05,0.10713837034259674,-1.2426645805067007,-0.290861731781931,0.03231689350024996,-0.6433515088415991,-0.8861264418545489,0.13257447701065722,0.14894299074803846,0.2815174677586957,very low,burnin,0.36973055370195296,0.23895947786554486,0.2443559205175576,0.0,0.0,0.0,-0.04528223939894282,-0.11241266870841136,-0.027048683487539027,-0.042311617360556095,-0.0573088741580044,-0.07260523985666989,0.07419582755947805,0.5783525866398794,0.2526368658965344,0.0970821653495833,0.1956303365143144,-0.08943541772541727,-0.33350458354883356,0.0
3,1.0,3,17,0.7648201013824554,-0.34919895481217633,,0.6537080418630314,0.13744024740269983,0.00025542285186848487,0.11495291366273279,-1.0348794332934501,-0.3034227626134036,0.031165579522110125,-0.37612644392467587,-0.8530206033069047,0.08625081741879267,0.16481009440066824,0.2510609118194609,very low,burnin,0.36973055370195296,0.23223113974537343,0.2443559205175576,0.0,0.0,0.0,-0.04858507124419369,-0.0936162184976172,-0.028216796408947517,-0.0408042337221957,-0.033504830168485926,-0.0698926954218403,0.043570275528933625,0.3839779005524862,0.2526368658965344,0.07197508633213118,0.1956303365143144,-0.07444657154852999,-0.3546075781386116,0.0
3,1.0,3,18,0.7627857300164445,-0.2776661486679068,,0.6596166778108506,0.1234696515593174,-0.00044804741911705614,0.12017947403566293,-0.986550543545006,-0.33568325963257445,0.03018576399881918,-0.25164437625596375,-0.4696082915254272,0.06620229355738097,0.10236751960343292,0.16856981316081388,very low,burnin,0.36973055370195296,0.21686279803573835,0.2443559205175576,0.0,0.0,0.0,-0.05079408709242107,-0.08924433926523258,-0.031216860967720302,-0.03952138828084476,-0.022416137513051635,-0.03847760436256253,0.022792984004503213,0.19638372677046712,0.2526368658965344,0.026447205237280016,0.1956303365143144,-0.057852786487763215,-0.36305162735167734,0.0
3,1.0,3,19,0.7533820815311137,-0.24572082567241155,,0.6892281407892207,0.11801348360963837,-0.0020240346806399225,0.12375210328989407,-0.8942563185783773,-0.3381253519478084,0.029148161160980426,-0.2546270115326413,-0.31287747872605803,0.07277760037482688,0.07327919797257938,0.14605679834740626,very low,burnin,0.36973055370195296,0.2069567296317613,0.2443559205175576,0.0,0.0,0.0,-0.052304065755120976,-0.08089531226500797,-0.03144396331520835,-0.03816288350232943,-0.022681826591854155,-0.02563578211379491,0.015723687068607637,0.13058764439979909,0.2526368658965344,0.0073112109460417496,0.1956303365143144,-0.056901648428889215,-0.3610082783637297,0.0
3,1.0,3,20,0.7600420408471595,-0.2809783399533189,,0.6838187360242565,0.13574164077917517,-0.00453918137071177,0.11997499490730316,-0.9634480131958191,-0.3662821927196369,0.028686928658299336,-0.4159551388911425,-0.3602443624753492,0.10848631719452723,0.07553956496182422,0.18402588215635146,very low,burnin,0.36973055370195296,0.2187874901390447,0.2443559205175576,0.0,0.0,0.0,-0.05070766359341818,-0.08715446148871285,-0.03406240840724688,-0.03755900450735291,-0.03705271594529968,-0.029516812848734638,0.02478202775559441,0.2222501255650427,0.2526368658965344,0.03283064487232533,0.1956303365143144,-0.05930097292686335,-0.3523878804364906,0.0
