seed,p,train_sd,train_at_target,corr_train_mgmt,train_var_share_from_mgmt
17,0.5,0.22336278627315378,0.304,0.3980425517193508,0.15843787297925183
17,0.75,0.17459370382590642,0.46725,0.3465523751025204,0.120098548689198
17,0.9,0.13390063145057557,0.556,0.3266553435183813,0.10670371344911167
17,1.0,0.0752045760783895,0.6245,0.3716719379334767,0.13814002944722603
18,0.0,0.2525737486234832,0.00025,0.573697118443393,0.32912838371025244
18,0.5,0.22262397805827544,0.2795,0.40013807149991537,0.16011047626367148
18,0.75,0.1814872644274267,0.419,0.3440168534988946,0.11834759549127971
18,0.9,0.14136146945316466,0.506,0.3334181361319678,0.11116765350171565
18,1.0,0.09638184585345781,0.569,0.37055482805527656,0.13731088059507557
19,0.0,0.25655767430331944,0.0,0.5642823377321362,0.3184145566764449
19,0.5,0.22376720431606195,0.27275,0.40693424436346076,0.16559547923566098
19,0.75,0.1804905248525963,0.41575,0.3578366166087906,0.12804704418602686
19,0.9,0.13805415537711954,0.50325,0.328741245116997,0.10807080624107335
19,1.0,0.09282016223120608,0.562,0.35507092554640096,0.126075362168378
