seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,dlog_capacity,dlog_nightlife_density,dlog_prior_violations,dlog_late_night_hours,dlog_staff_training_score,dlog_security_staff,dlog_incident_response_time,dlog_camera_coverage,dlog_license_compliance,dlog_cap_effect,share_at_credit_cap_after,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only,jitter
9,0.75,3,3,0.8539127468523825,-0.1413683184019071,-0.1896979516228099,0.6615146504183498,0.1393821298171569,0.019868283561483284,0.14309805543547835,-0.6477438562061617,-0.40287107545209405,0.031131093018796154,-0.3052610117988514,-0.4992754639419779,0.08168223301763701,0.1086065252842728,0.19028875830190983,0.30853847174512467,0.2666968493677396,0.3120795290829901,0.0,0.0,0.0,-0.12013936141797832,-0.07064712841936764,-0.05891915807784177,-0.04441984117681574,-0.02396856974018615,-0.02460660294622644,0.026824545419301103,0.28552368245497,0.05637091394262842,0.12005260703993807,0.4553035356904603,-0.09837897329468817,0.5
9,0.75,3,4,0.8031987265926005,-0.1344461001343876,-0.14326135121421524,0.6623085246546336,0.12672539113550293,0.022249938401369962,0.13150846023820198,-0.5495104249372218,-0.3959097253022777,0.03495809727428961,-0.3076778165149636,-0.502691220488867,0.08594880325551311,0.11386371025582119,0.1998125135113343,0.30853847174512467,0.2561897282469227,0.3120795290829901,0.0,0.0,0.0,-0.11040920427603547,-0.05993315596337401,-0.05790107334824939,-0.04988045642438765,-0.0241583330907208,-0.024774947219439198,0.025812210752797774,0.27585056704469646,0.05637091394262842,0.11410984876890777,0.4553035356904603,-0.10890827473195708,0.5
9,0.75,3,5,0.7851378828858787,-0.1308887526925044,-0.12366859307294131,0.6580113384683911,0.1152793541387387,0.022856822922740102,0.12669086798356227,-0.4655798732941815,-0.4498877546318648,0.03525351389467883,-0.2742243792674356,-0.477095340465613,0.07895596378868547,0.11125728975818101,0.1902132535468665,0.30853847174512467,0.2510083862132109,0.3120795290829901,0.0,0.0,0.0,-0.10636454793683334,-0.05077914793470191,-0.06579526143120226,-0.05030197581500967,-0.021531626722320642,-0.0235134639255903,0.02406532147344063,0.25950633755837227,0.05637091394262842,0.10197989114502513,0.4553035356904603,-0.10978089118566621,0.5
9,0.75,3,6,0.769882718476623,-0.1314274263864028,-0.09985811890922114,0.6184889370037635,0.11853983277183011,0.023977562919936017,0.12672511344235754,-0.5100727624010402,-0.4516249252991296,0.03754182242522671,-0.19695961260457392,-0.4131569853047568,0.05754267072312326,0.09795525840175433,0.1554979291248776,0.30853847174512467,0.2510435626392416,0.3120795290829901,0.0,0.0,0.0,-0.10639329904416742,-0.05563182977855792,-0.06604931946462624,-0.05356708126534251,-0.015464930103237441,-0.02036228620486651,0.022955080742677,0.24883255503669113,0.05637091394262842,0.08298891473610813,0.4553035356904603,-0.10244829245835976,0.5
9,0.75,3,7,0.774451402901965,-0.12683333687580253,-0.10757872098720234,0.5798495087611933,0.11885735917042148,0.028004313867750867,0.10950053501959256,-0.4974060836574545,-0.436386046972829,0.039088584056533926,-0.10914297446369899,-0.4567980259177718,0.034047859085273045,0.11614774663894258,0.15019560572421564,0.30853847174512467,0.2369301310471857,0.3120795290829901,0.0,0.0,0.0,-0.09193223703946446,-0.05425031998688472,-0.0638206613758599,-0.055774100015361185,-0.008569718679987577,-0.022513118432923678,0.021119464501680306,0.23015343562374915,0.05637091394262842,0.06721611558363949,0.4553035356904603,-0.11334033984006726,0.5
9,0.75,3,8,0.7628093243306604,-0.12746319191565522,-0.09961366811656613,0.5891454255465597,0.11223918763726291,0.02827596229674314,0.09268445869076071,-0.5124690993982963,-0.381277353106935,0.04151683091011441,-0.1439647440685217,-0.47222713193070726,0.04674756626130789,0.12499061799471409,0.17173818425602197,0.30853847174512467,0.225971524832985,0.3120795290829901,0.0,0.0,0.0,-0.0778141369328368,-0.05589318976825014,-0.055761115672052976,-0.05923887844472835,-0.011303864152190417,-0.023273536103918344,0.02201004900464834,0.23815877251501,0.05637091394262842,0.06664813680664358,0.4553035356904603,-0.12812948294513152,0.5
9,0.75,3,9,0.7611860417410347,-0.12300372871802301,-0.10820698651265959,0.6379517173267415,0.10269506539766411,0.029012672360255235,0.08817661672073152,-0.4384753342767546,-0.36698462921124214,0.040808194311255264,-0.2030900843008482,-0.517882616467942,0.06711041122670332,0.13927523845197473,0.20638564967867803,0.30853847174512467,0.2206000393875229,0.3120795290829901,0.0,0.0,0.0,-0.07402953445166152,-0.0478229518544685,-0.05367083093858516,-0.0582277502728265,-0.015946284199282998,-0.025523649441063768,0.021264137361806806,0.2274849899933289,0.05637091394262842,0.0789194578060423,0.4553035356904603,-0.13958819121576235,0.5
9,0.75,3,10,0.7488690386142081,-0.1220388540388415,-0.09377136084112547,0.6812621730451456,0.09855988553919981,0.025513194136508193,0.10496752567057727,-0.4498820268877707,-0.3468613776315827,0.04166798481190389,-0.233237813885683,-0.5119583567186347,0.07283265049987904,0.13003438421280034,0.2028670347126794,0.30853847174512467,0.23203450235644876,0.3120795290829901,0.0,0.0,0.0,-0.088126505040975,-0.049067039420888005,-0.05072784219328586,-0.05945455453122781,-0.018313432086280546,-0.025231674533563696,0.022087413667704628,0.23649099399599732,0.05637091394262842,0.09161794333601411,0.4553035356904603,-0.12988483751223934,0.5
9,0.9,3,1,0.702083942474716,0.14883038603260515,0.0,0.7041786084840108,0.16245436460401538,0.008780034444257144,0.1491480909077099,-0.8676980725858773,-0.48328331281751463,0.028181770322941235,-0.4137537942633374,-0.42548855788620293,0.0982945209884048,0.08019163682048389,0.17848615780888866,0.28137259819720317,0.2563677830385847,0.26421914040608085,0.0,0.0,0.0,-0.12477248802717344,-0.07557223930583674,-0.05212491635692638,-0.03137991240151557,-0.02672113479386824,-0.017901218497696984,0.02669352634527075,0.23204879401164402,0.05766565012475742,0.11473779453684213,0.4543942334349875,-0.051371169268205126,0.0
9,0.9,3,2,0.9318939765129296,-0.1804788410987025,-0.24506190625850421,0.6691992180671534,0.15023106818904428,0.014502712817638968,0.15302019493046295,-0.786706872119471,-0.4408425578434727,0.027548378061075976,-0.37185832736113084,-0.41658137066339607,0.09343801851567173,0.08388564150838965,0.17732366002406136,0.28137259819720317,0.2528534432756923,0.26421914040608085,0.0,0.0,0.0,-0.12801176551224622,-0.06851830363778387,-0.04754743407174334,-0.03067464110502253,-0.024015432915438104,-0.017526473979377868,0.019978815777721464,0.17771000831716108,0.05766565012475742,0.11251893853896963,0.4543942334349875,-0.054943111998507786,0.0
