seed,cap,weight,proxy_share_of_promises,bundle_promised_%,bundle_true_%,promised_staff_training_score,true_staff_training_score,promised_security_staff,true_security_staff,promised_incident_response_time,true_incident_response_time,promised_camera_coverage,true_camera_coverage,promised_license_compliance,true_license_compliance,promised_late_night_hours,true_late_night_hours,causal_promised_sum,causal_true_sum
15,0.15,0.6,0.22433988436073607,28.825801410064162,31.700698141786347,7.273433565801514,12.673029015172716,3.0656377358481457,8.871000075622275,3.4927288525192717,8.565033665318325,5.654259583254654,0.0,1.6470843906635124,0.0,11.412758241095219,6.662486584243214,25.24455839526415,36.77154934035653
16,0.15,0.6,0.20122324470221234,27.705275301517528,31.474131047942066,7.397520470763324,12.922449691480017,2.599667192772631,8.596449755116451,3.2026598518210694,8.197683028437247,2.9561898101176984,0.0,3.277277057255294,0.0,11.544552397014138,6.7163435784746195,24.744399912371165,36.43292605350833
17,0.15,0.6,0.14501044566216664,31.31648762440104,31.24290039206344,8.483846296453077,12.964942906033702,3.2296939165378347,8.469462422423456,3.9079408519717993,8.015574333038462,3.0086172309638357,0.0,2.157462455534034,0.0,14.83800858533999,6.680496613413068,30.4594896503027,36.13047627490869
18,0.15,0.6,0.22667320339377642,25.27936199104714,31.10513979614118,5.532363386740437,12.569993783374159,5.140791050036957,8.915000135459863,2.4105337720593845,7.774838612944151,3.339965216621866,0.0,2.951477713995041,0.0,8.380434301986782,6.707175271965446,21.46412251082356,35.96700780374362
19,0.15,0.6,0.2041049594782634,24.665793507439204,31.466009000419916,6.7969281587346195,12.985980893571542,2.013885548499631,8.491347605651123,3.604643918292788,8.216682080242228,2.6983325438118397,0.0,2.7547596885232157,0.0,8.848548277696903,6.698026055688371,21.264005903223943,36.39203663515327
0,0.15,0.8,0.2597377610868986,24.821576228202368,31.05138189464333,6.908998675937434,12.64110075787629,5.121096559445311,8.429394540559771,3.0872429649973427,8.080076862405766,3.443186634958937,0.0,3.9522269178033893,0.0,5.959864326304327,6.766375736495306,21.077202526684417,35.91694789733713
1,0.15,0.8,0.2586429806292637,23.431705632704418,31.67313916955515,7.7821376072776856,13.238513137617009,2.2864345462995,8.637156142468463,2.8945747638918182,8.05549535449991,4.240719815328167,0.0,2.3026598474898448,0.0,5.792360893474458,6.716977912177365,18.755507810943463,36.64814254676275
2,0.15,0.8,0.24861204227189548,26.299567367446308,31.364100626813617,7.167743286890081,12.887199537271515,4.0991832583546515,8.433713564306737,2.064608791391433,8.298588845102117,2.876860473089092,0.0,4.487962531483473,0.0,8.927399773122673,6.6956811606254885,22.258935109758838,36.315183107305856
3,0.15,0.8,0.27529551363946253,24.709186830327088,31.27127599040748,6.68512964832681,13.022924852556258,4.062451332808211,8.427556136081641,2.7209361719503407,8.059538611894256,3.4961846463726673,0.0,4.2147179742009975,0.0,6.830127198734272,6.7067715584749985,20.298644351819632,36.21679115900715
4,0.15,0.8,0.1732962075597017,27.9175088756155,31.763492776203577,7.538769432139956,13.032268419014997,4.166403371740963,8.83945729761713,3.960225946654636,8.252046104128024,2.2709032828512563,0.0,3.3895475154150985,0.0,11.337593454221059,6.687954358562104,27.002992204756616,36.81172617932226
5,0.15,0.8,0.24547571860366338,29.002250590458488,31.203715693581934,4.9728613344136505,12.53952159869538,3.985924363904172,8.914864328387878,3.3157998428611815,7.996450141168293,5.499971733986538,0.0,2.444596616274591,0.0,12.144814306523086,6.658757711668696,24.41939984770209,36.109593779920246
