seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,dlog_capacity,dlog_nightlife_density,dlog_prior_violations,dlog_late_night_hours,dlog_staff_training_score,dlog_security_staff,dlog_incident_response_time,dlog_camera_coverage,dlog_license_compliance,dlog_cap_effect,share_at_credit_cap_after,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only,rebalance
7,1.0,3,3,0.9237889430189148,-0.25458840258385873,,0.627876371891075,0.1381618477466969,0.018977056265993383,0.13008411972158257,-0.8290190899801523,-0.3545429769584712,0.027520747571753452,-0.5341473524030875,-0.44563039492804246,0.1341022702368962,0.09148684112861599,0.2255891113655122,0.2703600305022706,0.24161162308331852,0.2738017806893387,0.0,0.0,0.0,-0.10699517097945876,-0.07730876155656345,-0.04110751016843824,-0.03162748658839561,-0.034500951568351465,-0.012652669564442477,0.022888169827288488,0.21248741188318226,0.0433031218529708,0.12776246786450102,0.5075528700906344,-0.08337344153827132,on
7,1.0,3,4,0.8681624826228413,-0.24662232509338536,,0.6986216182817758,0.1503908230854349,0.018498559725106854,0.12396222260129953,-0.701701608224754,-0.4070952055581743,0.029172302343456438,-0.5291425593267618,-0.511195903388341,0.13333315603171317,0.1059473482847996,0.23928050431651277,0.2703600305022706,0.23529053306273093,0.2738017806893387,0.0,0.0,0.0,-0.10195986436013232,-0.0654359869027906,-0.04720068197533439,-0.033525491948019244,-0.03417768847857089,-0.014514254238231999,0.02414510319172918,0.21827794561933533,0.0433031218529708,0.12895610765483367,0.5075528700906344,-0.08986822172089738,on
7,1.0,3,5,0.8325903983314096,-0.2586846752361497,,0.7226512896189302,0.1697373667766062,0.01820018975730889,0.12257120576007938,-0.7322803325245663,-0.40754012680316937,0.031152432034798998,-0.5878380064420753,-0.5781264056771152,0.14105801529493106,0.11371674388767404,0.25477475918260506,0.2703600305022706,0.23704733160824126,0.2738017806893387,0.0,0.0,0.0,-0.10081574250205924,-0.06828755369319427,-0.047252268400088,-0.03580110328789791,-0.03796886851362606,-0.016414594831872978,0.03098751695600258,0.2678751258811682,0.0433031218529708,0.14022617505289386,0.5075528700906344,-0.09170174932891381,on
7,1.0,3,6,0.8074234690524614,-0.280873972056473,,0.7571611490623203,0.19575332319344274,0.01678781775417185,0.10823084986191932,-0.859763029575796,-0.40536461909437976,0.0289123858667253,-0.6531002048728417,-0.6401167807359146,0.1531995490411552,0.12241071511339156,0.27561026415454676,0.2703600305022706,0.2324629761350325,0.2738017806893387,0.0,0.0,0.0,-0.08902069146497746,-0.08017573521764756,-0.04700002900720035,-0.03322678985569838,-0.04218419961500511,-0.018174671659490393,0.03933470520495127,0.3285498489425982,0.0433031218529708,0.14506162383880783,0.5075528700906344,-0.10084665637830859,on
7,1.0,3,7,0.7916350645900685,-0.2972794992251791,,0.7520582131651629,0.1985234325416101,0.01768507542164452,0.12409344673059408,-1.0022591443977669,-0.41653080732032854,0.028763934566408127,-0.5576369574615364,-0.6316728423738994,0.12229511767101736,0.11415945783697207,0.23645457550798943,0.2703600305022706,0.24627738927471798,0.2738017806893387,0.0,0.0,0.0,-0.10206779719759589,-0.09346396741477608,-0.04829469347913164,-0.033056186150345904,-0.036018161609429555,-0.017934925082207783,0.041642073009841955,0.34390735146022156,0.0433031218529708,0.14169175693651379,0.5075528700906344,-0.08054778103429641,on
7,1.0,3,8,0.7706298580116259,-0.34236085392163623,,0.7401908596685042,0.21198719638956307,0.02071794730442226,0.13365011629017556,-1.265461426093016,-0.44303158062005954,0.031245076816710696,-0.5067860995198875,-0.5734838922600085,0.09966730279372257,0.09322913795152564,0.19289644074524823,0.2703600305022706,0.26061523334491576,0.2738017806893387,0.0,0.0,0.0,-0.10992823009063532,-0.11800844737024804,-0.05136732748597525,-0.03590757283745349,-0.03273366908286171,-0.016282781138543947,0.05399179657032406,0.4096173212487412,0.0433031218529708,0.13025386778176287,0.5075528700906344,-0.059560890582458025,on
7,1.0,3,9,0.7439081395585186,-0.4029967650074547,,0.7431459017901475,0.20367275482600203,0.019911700978820224,0.15478718139162698,-1.6294883413143852,-0.46578893681129496,0.03137772595216564,-0.4645682765208928,-0.5919651652595094,0.07719428830239977,0.08106999857421561,0.15826428687661537,0.2703600305022706,0.2810267274968584,0.2738017806893387,0.0,0.0,0.0,-0.12731362578208597,-0.15195515659463266,-0.05400593073532846,-0.03606001632546649,-0.030006790329168323,-0.016807515185086472,0.07503556093598479,0.5017623363544814,0.0433031218529708,0.1285236130565948,0.5075528700906344,-0.03398511627506499,on
7,1.0,3,10,0.7293739407635209,-0.42897194712975845,,0.7591499672997932,0.19666003980804878,0.017064851113110624,0.15236097397937914,-1.7544787633123182,-0.4226091874199171,0.03233637728524544,-0.5722835330185809,-0.6076965959421651,0.09119261618897423,0.07902993601842477,0.170222552207399,0.2703600305022706,0.2809329181018919,0.2738017806893387,0.0,0.0,0.0,-0.1253180518606827,-0.16361092525892695,-0.04899945168332739,-0.037161720852237706,-0.03696419418201913,-0.01725417366365752,0.08725455238026772,0.5415407854984894,0.0433031218529708,0.1325954615530363,0.5075528700906344,-0.03819601437202399,on
7,0.1,3,1,0.7231666146362925,0.15623424325809052,0.0,0.5293217995147301,0.12601200330167642,0.013652137179282615,0.13446577336777957,-1.0092797395094728,-0.38667326129062163,0.025532201873972458,-0.5049891549517124,-0.4481855738817013,0.117789101769303,0.0857514006306824,0.20354050239998542,0.2696778969343758,0.2507232316607598,0.2727511126939132,0.0,0.0,0.0,-0.10932031707486589,-0.09356491884681847,-0.04187203515554917,-0.03185474860995974,-0.03163640293158538,-0.012995351625123958,0.026880750075790792,0.259946949602122,0.04774535809018567,0.1326173732131765,0.493368700265252,-0.07082503050013658,frozen
7,0.1,3,2,0.7171411675950831,0.15623424325809052,-0.000447441275960192,0.5825841963814397,0.13834910744946996,0.014400823277066222,0.13032770934944318,-0.9351658590836096,-0.4057048113344031,0.026197330521156543,-0.5466499819689931,-0.4316261782071618,0.1298028048648434,0.08357804719148325,0.21338085205632665,0.2696778969343758,0.24713374131446642,0.2727511126939132,0.0,0.0,0.0,-0.10595608200425555,-0.08669421795388371,-0.04393292172897808,-0.03268458326166403,-0.03424635741686101,-0.012515204154899939,0.026725638283560862,0.2519893899204244,0.04774535809018567,0.13408253451686505,0.493368700265252,-0.07576169169352508,frozen
