seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,rebalance
11,0.0,3,5,0.7581893041551613,0.1604554783848478,-0.023328823679256372,0.7220433705045175,0.15942937435557414,0.02486112496856223,0.06792413286433611,-1.1601035247925757,-0.327452215179347,0.026395161599295964,-0.6441681037586885,-0.5187876970503238,0.16621866066438512,0.11018015554952823,0.2763988162139134,frozen
11,0.0,3,6,0.754808367665242,0.1604554783848478,-0.010422112689150054,0.697935968415288,0.1420829270737267,0.02248371507189539,0.07122207870440053,-1.142261871838146,-0.3313305967786042,0.023650978938768143,-0.5827140035009325,-0.5925451895347638,0.1507085257546885,0.12749659294176538,0.27820511869645387,frozen
11,0.0,3,7,0.751644902013034,0.1604554783848478,-0.0011775093213490795,0.6778083665834453,0.14149373148566688,0.020544087496985775,0.0733852254972902,-1.0768953498705491,-0.3353606796522222,0.023983691177283013,-0.49121379541854515,-0.6584314822442674,0.12932127583193562,0.14660003459167953,0.2759213104236151,frozen
11,0.0,3,8,0.7401038134963573,0.1604554783848478,0.019119228022174584,0.6616175546738163,0.1412114905897173,0.02448752653464706,0.06386765037666872,-1.0358826724646253,-0.2978515834222368,0.024010140627061076,-0.4181357951478328,-0.6755045867132021,0.11863331094670351,0.16389017809766424,0.28252348904436775,frozen
11,0.0,3,9,0.7369609204818142,0.1604554783848478,0.02211409098988759,0.6521854958276381,0.15125655343394143,0.026800174588246958,0.06703763230292376,-1.0395765802742831,-0.29936715310207834,0.02604890979846227,-0.34043945952300403,-0.6910325472918003,0.0961503152231726,0.16807616192052535,0.26422647714369796,frozen
11,0.0,3,10,0.7308564711280945,0.1604554783848478,0.030247184442182995,0.6535306138704999,0.1396393950540329,0.028975532939424703,0.07463782451247292,-1.0446570733620701,-0.31683044361118684,0.026592318003448273,-0.27536579148919976,-0.7030573981030886,0.07619720264400288,0.16824023881281627,0.24443744145681917,frozen
11,0.0,3,1,0.8495267589764441,0.0,0.0,0.8218184168255596,0.126575847726036,0.01899766404766938,0.12478892212468765,-1.2937660796120707,-0.23287634745313335,0.028927125575432953,-0.4952666564322689,-0.28807573586215435,0.11894317814182286,0.05717094186002153,0.1761141200018444,never
11,0.0,3,2,0.8603416643342064,0.0,-0.008254187932542623,0.7915663218036838,0.13439641987868248,0.024447927890335744,0.11538805473942478,-1.2333623348458984,-0.25541749844546474,0.02768593726301985,-0.5803188754615644,-0.32203860328204637,0.14105471653336824,0.06414692862991656,0.20520164516328476,never
11,0.0,3,3,0.8677265494050388,0.0,-0.008658219177068105,0.7583049184414927,0.14939036631933514,0.02853756767163607,0.08756639374631406,-1.1626024078783683,-0.2711640645864151,0.028634112450529832,-0.6662103250971027,-0.34176998035877587,0.1722152139052688,0.07176969057161031,0.24398490447687915,never
11,0.0,3,4,0.8804424075915348,0.0,-0.017876459615870588,0.7355696679246999,0.16272334688707532,0.02921710808753476,0.07073735864537085,-1.1282800058560503,-0.299634852753228,0.02716883024975314,-0.7153929164873277,-0.4182000002468809,0.18902562828154093,0.0894995460880485,0.27852517436958946,never
11,0.0,3,5,0.8901487418856652,0.0,-0.023328823679256372,0.7220433705045175,0.15942937435557414,0.02486112496856223,0.06792413286433611,-1.1601035247925757,-0.327452215179347,0.026395161599295964,-0.6441681037586885,-0.5187876970503238,0.16621866066438512,0.11018015554952824,0.2763988162139134,never
11,0.0,3,6,0.8861793686085645,0.0,-0.010422112689150054,0.697935968415288,0.1420829270737267,0.02248371507189539,0.07122207870440053,-1.142261871838146,-0.3313305967786042,0.023650978938768143,-0.5827140035009325,-0.5925451895347638,0.1507085257546885,0.12749659294176538,0.27820511869645387,never
11,0.0,3,7,0.8824653159902028,0.0,-0.0011775093213489685,0.6778083665834453,0.14149373148566688,0.020544087496985775,0.0733852254972902,-1.0768953498705491,-0.3353606796522222,0.023983691177283013,-0.49121379541854515,-0.6584314822442674,0.1293212758319356,0.1466000345916795,0.27592131042361506,never
11,0.0,3,8,0.8689155529339192,0.0,0.019119228022174584,0.6616175546738163,0.1412114905897173,0.02448752653464706,0.06386765037666872,-1.0358826724646253,-0.2978515834222368,0.024010140627061076,-0.4181357951478328,-0.6755045867132021,0.11863331094670351,0.16389017809766424,0.28252348904436775,never
