seed,cap,weight,setting,p,kept_t1,kept_t10,gap_proxy_heavy_t1,gap_proxy_heavy_t10,gap_causal_only_t1,share_proxy_heavy,noncausal_t1,noncausal_t10,camera_coef_t10,peak_lr,at_cap_t1
8,0.15,0.2,camera=0.3,0.5,0.9407906264115675,0.5131932779958936,9.50212082264456,1.238083608258503,-7.401481128144994,0.043912175648702596,0.041212360678452756,0.18252174096419876,-0.5113424897879681,0.7973565883315263,0.1506986027944112
9,0.15,0.2,baseline,0.25,0.9021275249021666,0.7073048851477447,10.491427728464867,8.18341268375254,-10.133341213695605,0.05360824742268041,0.14155002283494758,0.218952316753139,-0.5243575995892075,0.7718469895466261,0.15979381443298968
9,0.15,0.2,baseline,0.5,0.9059083363210665,0.6205427174625918,9.786785441589481,5.215631430729271,-10.476339015210243,0.05233739837398374,0.14155002283494758,0.22358818940450428,-0.42122998889345203,0.8142651670154406,0.1524390243902439
9,0.15,0.2,baseline,1.0,0.9065551860974808,0.9237584398390901,9.142485697950512,10.573582367659656,-10.574618377217142,0.0590007532011047,0.14155002283494758,0.17188403679279585,-0.5882740054016988,0.9760846805965013,0.14160180768265127
9,0.15,0.2,camera=0.1,0.5,0.8908910960915184,0.6745391052182306,5.182175289071496,1.2990983856069107,-11.023416201319067,0.0502283105022831,0.08268671621092183,0.09844356911455479,-0.38677386636027483,0.805116133223658,0.1613394216133942
9,0.15,0.2,camera=0.3,0.5,0.871778541616292,0.7368596999643088,1.1035360397970226,-1.4669250208087536,-11.57515687001439,0.07106598984771574,0.06976112516861235,0.09794660785150605,-0.3542584040394853,0.8094006531726288,0.18578680203045686
10,0.15,0.2,baseline,0.25,0.8717673855627831,0.7491821579211277,5.371026101209337,3.5021247723670053,-13.117793134557603,0.06882591093117409,0.21285260237293513,0.2255459897257706,-0.44904500903801725,0.8006804645074682,0.15182186234817813
10,0.15,0.2,baseline,0.5,0.868317484044508,0.6845283276085303,5.616992029534158,3.390599075158217,-12.8803283978242,0.07772795216741404,0.21285260237293513,0.265163243715247,-0.4575780981643318,0.84185460230272,0.15645241654210265
10,0.15,0.2,baseline,1.0,0.8717920443887218,0.9293691075115789,5.873501067834666,6.9391871088005015,-13.014187484046106,0.07698113207547169,0.21285260237293513,0.19479461938268247,-0.4073618337566331,1.0152474254275115,0.15622641509433963
10,0.15,0.2,camera=0.1,0.5,0.875600603441664,0.6538508251367989,5.927879979902458,2.2370867968352646,-12.078512587374703,0.07922272047832586,0.15745433281511173,0.19115656463680747,-0.5692925575818684,0.8535755363643294,0.19431988041853512
